iter	Passed	Remaining
656	889	1883
657	891	1882
658	892	1881
659	893	1879
660	894	1877
661	896	1876
662	897	1874
663	898	1873
664	899	1871
665	901	1870
666	902	1868
667	903	1867
668	905	1865
669	906	1864
670	907	1862
671	908	1860
672	910	1859
673	911	1857
674	912	1856
675	913	1854
676	914	1852
677	916	1851
678	917	1850
679	918	1848
680	920	1847
681	921	1845
682	922	1844
683	924	1842
684	925	1841
685	926	1839
686	927	1838
687	929	1836
688	930	1834
689	931	1833
690	933	1832
691	934	1830
692	935	1829
693	936	1827
694	937	1826
695	939	1824
696	940	1822
697	941	1821
698	943	1820
699	944	1818
700	945	1817
701	947	1816
702	948	1814
703	949	1813
704	951	1811
705	952	1810
706	953	1808
707	955	1807
708	956	1806
709	957	1804
710	958	1802
711	960	1801
712	961	1800
713	962	1798
714	963	1796
715	965	1795
716	966	1793
717	967	1792
718	968	1790
719	970	1789
720	971	1787
721	972	1786
722	973	1784
723	975	1783
724	976	1781
725	977	1780
726	979	1779
727	980	1777
728	981	1776
729	983	1774
730	984	1773
731	985	1771
732	986	1770
733	988	1768
734	989	1767
735	990	1765
736	991	1764
737	993	1763
738	994	1761
739	995	1759
740	997	1758
741	998	1757
742	999	1755
743	1000	1754
744	1002	1752
745	1003	1750
746	1004	1749
747	1005	1748
748	1007	1746
749	1008	1745
750	1009	1743
751	1011	1742
752	1012	1741
753	1013	1739
754	1015	1738
755	1016	1737
756	1017	1735
757	1019	1734
758	1020	1732
759	1021	1731
760	1023	1730
761	1024	1729
762	1026	1728
763	1027	1726
764	1028	1725
765	1029	1723
766	1031	1722
767	1032	1720
768	1033	1719
769	1035	1718
770	1036	1716
771	1037	1715
772	1038	1713
773	1040	1712
774	1041	1710
775	1042	1709
776	1043	1707
777	1045	1706
778	1046	1704
779	1047	1703
780	1049	1702
781	1050	1700
782	1051	1699
783	1052	1697
784	1054	1696
785	1055	1694
786	1056	1693
787	1057	1691
788	1059	1690
789	1060	1688
790	1062	1687
791	1063	1686
792	1064	1684
793	1065	1683
794	1067	1681
795	1068	1680
796	1069	1678
797	1070	1677
798	1072	1675
799	1073	1674
800	1074	1672
801	1075	1671
802	1077	1669
803	1078	1668
804	1079	1667
805	1080	1665
806	1082	1664
807	1083	1662
808	1084	1661
809	1086	1659
810	1087	1658
811	1088	1656
812	1089	1655
813	1091	1654
814	1092	1652
815	1093	1651
816	1095	1649
817	1096	1648
818	1097	1646
819	1098	1645
820	1099	1643
821	1101	1642
822	1102	1641
823	1103	1639
824	1105	1638
825	1106	1636
826	1107	1635
827	1108	1633
828	1110	1632
829	1111	1631
830	1112	1629
831	1114	1628
832	1115	1626
833	1116	1625
834	1117	1624
835	1119	1622
836	1120	1621
837	1121	1619
838	1123	1618
839	1124	1617
840	1125	1615
841	1127	1614
842	1128	1613
843	1129	1611
844	1131	1610
845	1132	1608
846	1133	1607
847	1134	1605
848	1136	1604
849	1137	1603
850	1138	1601
851	1139	1600
852	1141	1598
853	1142	1597
854	1143	1595
855	1144	1594
856	1146	1593
857	1147	1591
858	1148	1590
859	1150	1588
860	1151	1587
861	1152	1585
862	1153	1584
863	1155	1583
864	1156	1581
865	1157	1580
866	1159	1578
867	1160	1577
868	1161	1576
869	1162	1574
870	1164	1573
871	1165	1572
872	1166	1570
873	1168	1569
874	1169	1567
875	1170	1566
876	1172	1564
877	1173	1563
878	1174	1562
879	1175	1560
880	1177	1559
881	1178	1558
882	1179	1556
883	1181	1555
884	1182	1554
885	1183	1552
886	1185	1551
887	1186	1549
888	1187	1548
889	1188	1546
890	1190	1545
891	1191	1544
892	1192	1542
893	1194	1541
894	1195	1540
895	1196	1538
896	1197	1537
897	1199	1535
898	1200	1534
899	1201	1532
900	1203	1531
901	1204	1530
902	1205	1528
903	1207	1527
904	1208	1526
905	1209	1524
906	1210	1523
907	1212	1521
908	1213	1520
909	1214	1519
910	1215	1517
911	1217	1516
912	1218	1514
913	1219	1513
914	1220	1511
915	1222	1510
916	1223	1509
917	1224	1507
918	1226	1506
919	1227	1504
920	1228	1503
921	1229	1501
922	1231	1500
923	1232	1499
924	1234	1498
925	1235	1496
926	1236	1495
927	1238	1494
928	1239	1493
929	1240	1491
930	1242	1490
931	1243	1489
932	1244	1487
933	1246	1486
934	1247	1485
935	1249	1483
936	1250	1482
937	1251	1481
938	1252	1479
939	1254	1478
940	1255	1477
941	1256	1475
942	1258	1474
943	1259	1472
944	1260	1471
945	1261	1469
946	1263	1468
947	1264	1466
948	1265	1465
949	1266	1464
950	1268	1463
951	1269	1461
952	1271	1460
953	1272	1459
954	1273	1457
955	1275	1456
956	1276	1455
957	1277	1453
958	1278	1452
959	1280	1450
960	1281	1449
961	1282	1447
962	1283	1446
963	1285	1445
964	1286	1443
965	1287	1442
966	1289	1441
967	1290	1439
968	1291	1438
969	1292	1436
970	1294	1435
971	1295	1434
972	1296	1432
973	1298	1431
974	1299	1429
975	1300	1428
976	1301	1427
977	1303	1425
978	1304	1424
979	1305	1422
980	1306	1421
981	1308	1420
982	1309	1418
983	1310	1417
984	1312	1415
985	1313	1414
986	1314	1412
987	1315	1411
988	1316	1410
989	1318	1408
990	1319	1407
991	1320	1406
992	1322	1404
993	1323	1403
994	1324	1401
995	1325	1400
996	1327	1399
997	1328	1397
998	1329	1396
999	1330	1394
1000	1332	1393
1001	1333	1391
1002	1334	1390
1003	1336	1389
1004	1337	1387
1005	1338	1386
1006	1339	1384
1007	1340	1383
1008	1342	1382
1009	1343	1380
1010	1344	1379
1011	1345	1377
1012	1347	1376
1013	1348	1374
1014	1349	1373
1015	1350	1372
1016	1352	1370
1017	1353	1369
1018	1355	1368
1019	1356	1366
1020	1357	1365
1021	1358	1364
1022	1360	1362
1023	1361	1361
1024	1362	1360
1025	1363	1358
1026	1365	1357
1027	1366	1355
1028	1367	1354
1029	1369	1353
1030	1370	1351
1031	1371	1350
1032	1372	1349
1033	1374	1347
1034	1375	1346
1035	1376	1344
1036	1377	1343
1037	1379	1341
1038	1380	1340
1039	1381	1339
1040	1382	1337
1041	1384	1336
1042	1385	1334
1043	1386	1333
1044	1387	1332
1045	1389	1330
1046	1390	1329
1047	1391	1328
1048	1393	1326
1049	1394	1325
1050	1395	1324
1051	1397	1322
1052	1398	1321
1053	1399	1319
1054	1400	1318
1055	1402	1317
1056	1403	1315
1057	1404	1314
1058	1405	1312
1059	1407	1311
1060	1408	1310
1061	1409	1308
1062	1410	1307
1063	1412	1306
1064	1413	1304
1065	1414	1303
1066	1416	1302
1067	1417	1300
1068	1419	1299
1069	1420	1298
1070	1421	1297
1071	1423	1295
1072	1424	1294
1073	1425	1293
1074	1427	1291
1075	1428	1290
1076	1429	1288
1077	1430	1287
1078	1432	1286
1079	1433	1284
1080	1434	1283
1081	1436	1282
1082	1437	1280
